,Название программы,Название вуза,Город,Направление,Уровень,Язык обучения,Продолжительность,Форма обучения,Возможность бесплатного обучения,Стоимость обучения,Где проходит обучение,Ссылка
1113,Математическое обеспечение и администрирование информационных систем,ДВФУ,Владивосток,Компьютерные и информационные науки,бакалавриат,русский,4 года                                            ,очная,есть,180000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9570-matematicheskoe-obespechenie-i-administrirovanie-informatsionnykh-sistem/info/
1114,Математическое обеспечение и администрирование информационных систем,ТГУ,Томск,Компьютерные и информационные науки,бакалавриат,русский,4 года                                            ,очная,нет,183300,Томск ,https://studyinrussia.ru/study-in-russia/programs/10852-matematicheskoe-obespechenie-i-administrirovanie-informatsionnykh-sistem-finf/info/
1115,Математическое обеспечение и администрирование информационных систем,СПбПУ,Санкт-Петербург,Компьютерные и информационные науки,магистратура,русский,2 года                                            ,очная,есть,209000218400,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13475-matematicheskoe-obespechenie-i-administrirovanie-informatsionnykh-sistem/info/
1116,Математическое обеспечение и администрирование информационных систем,СПбПУ,Санкт-Петербург,Компьютерные и информационные науки,бакалавриат,русский,4 года                                            ,очная,есть,198000207000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13234-matematicheskoe-obespechenie-i-administrirovanie-informatsionnykh-sistem/info/
1117,Математическое обеспечение и администрирование информационных систем,ТюмГУ,Тюмень,Компьютерные и информационные науки,бакалавриат,русский,4 года                                            ,очная,есть,165000,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/16078-matematicheskoe-obespechenie-i-administrirovanie-informatsionnykh-sistem/info/
1118,Математическое обеспечение и администрирование информационных систем,ТюмГУ,Тюмень,Компьютерные и информационные науки,магистратура,русский,2 года                                            ,очная,есть,169162,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/16114-matematicheskoe-obespechenie-i-administrirovanie-informatsionnykh-sistem/info/
1119,Математическое обеспечение и администрирование информационных систем,УрФУ,Екатеринбург,Компьютерные и информационные науки,бакалавриат,русский,4 года                                            ,очная,есть,173300138700,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/317691-matematicheskoe-obespechenie-i-administrirovanie-informatsionnykh-sistem/info/
1120,"Математическое, программное и аппаратное обеспечение информационных систем",МИФИ,Москва,Информатика и вычислительная техника,бакалавриат,русский,4 года                                            ,очная,есть,91000110900,Москва ,https://studyinrussia.ru/study-in-russia/programs/13292-matematicheskoe-programmnoe-i-apparatnoe-obespechenie-informatsionnykh-sistem/info/
1121,Материаловедение,НГУ,Новосибирск,Химия,магистратура,английский,2 года                                            ,очная,есть,3800,Новосибирск ,https://studyinrussia.ru/study-in-russia/programs/85073-materialovedenie/info/
1122,Материаловедение,УрФУ,Екатеринбург,Технологии материалов,,английский,19 дней                                            ,очная,нет,1200,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/278525-materialovedenie/info/
1123,Материаловедение  и технологии  материалов,ТПУ,Томск,Технологии материалов,магистратура,"русский, английский",2 года                                            ,очная,есть,33004100,Томск ,https://studyinrussia.ru/study-in-russia/programs/10282-materialovedenie-i-tekhnologii-materialov/info/
1124,Материаловедение и технологии материалов,МГМУ,Москва,Технологии материалов,магистратура,русский,2 года                                            ,очная,есть,,Москва ,https://studyinrussia.ru/study-in-russia/programs/248085-materialovedenie-i-tekhnologii-materialov/info/
1125,Материаловедение и технологии материалов,ТПУ,Томск,Технологии материалов,бакалавриат,русский,2 года                                            ,очная,есть,2900,Томск ,https://studyinrussia.ru/study-in-russia/programs/10118-materialovedenie-i-tekhnologii-materialov/info/
1126,Материаловедение и технологии материалов,ДВФУ,Владивосток,Технологии материалов,бакалавриат,русский,4 года                                            ,очная,есть,200000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/306068-materialovedenie-i-tekhnologii-materialov/info/
1127,Материаловедение и технологии материалов,СПбПУ,Санкт-Петербург,Технологии материалов,бакалавриат,русский,4 года                                            ,очная,есть,210200219600,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13257-materialovedenie-i-tekhnologii-materialov/info/
1128,Материаловедение и технологии материалов,СПбПУ,Санкт-Петербург,Технологии материалов,магистратура,русский,2 года                                            ,очная,есть,224600234600,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13530-materialovedenie-i-tekhnologii-materialov/info/
1129,Материаловедение и технологии материалов,ДВФУ,Владивосток,Технологии материалов,магистратура,"русский, английский",2 года                                            ,очная,есть,250000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/306147-materialovedenie-i-tekhnologii-materialov/info/
1130,Материаловедение и технологии материалов в машиностроении,СФУ,Красноярск,Технологии материалов,бакалавриат,русский,4 года                                            ,очная,есть,170622,Красноярск ,https://studyinrussia.ru/study-in-russia/programs/148939-materialovedenie-i-tekhnologii-materialov-v-mashinostroenii/info/
1131,Материаловедение и технологии металлических материалов,УрФУ,Екатеринбург,Технологии материалов,бакалавриат,русский,4 года                                            ,очная,нет,210000168000,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/212424-materialovedenie-i-tekhnologii-metallicheskikh-materialov/info/
1132,Материаловедение металлических и неметаллических материалов в условиях интенсивных внешних воздействий,МИФИ,Москва,Технологии материалов,магистратура,русский,2 года                                            ,очная,есть,83720,,https://studyinrussia.ru/study-in-russia/programs/125347-materialovedenie-metallicheskikh-i-nemetallicheskikh-materialov-v-usloviyakh-intensivnykh-vneshnikh-vozdeystviy/info/
1133,Материаловедение цветных металлов и сплавов,МИСиС,Москва,Технологии материалов,аспирантура,английский,4 года                                            ,очная,есть,301000,Москва ,https://studyinrussia.ru/study-in-russia/programs/347582-materialovedenie-tsvetnykh-metallov-i-splavov/info/
1134,Материалы и технологии магнитоэлектроники,МИСиС,Москва,"Электроника, радиотехника и системы связи",бакалавриат,,4 года                                            ,очная,есть,228000,Москва ,https://studyinrussia.ru/study-in-russia/programs/417544-materialy-i-tekhnologii-magnitoelektroniki/info/
1135,Материалы. Приборы. Нанотехнологии,ВШЭ,Москва,"Электроника, радиотехника и системы связи",магистратура,"русский, английский",2 года                                            ,очная,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/13157-materiali-pribory-nanotechnology/info/
1136,Машинное обучение и анализ данных (Санкт-Петербург),ВШЭ,Москва,Математика и механика,магистратура,"русский, английский",2 года                                            ,очная,есть,300000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/416959-mashinnoe-obuchenie-i-analiz-dannykh-sanktpeterburg/info/
1137,Машиностроение,СПбПУ,Санкт-Петербург,Машиностроение,аспирантура,русский,4 года                                            ,очная,есть,250800262200,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13568-mashinostroenie/info/
1138,Машиностроение,ТПУ,Томск,Машиностроение,бакалавриат,"русский, английский",4 года                                            ,очная,есть,17502300,Томск ,https://studyinrussia.ru/study-in-russia/programs/10004-mashinostroenie/info/
1139,Машиностроение,ДВФУ,Владивосток,Машиностроение,аспирантура,русский,4 года                                            ,"очная, заочная",есть,305000150000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9757-mashinostroenie/info/
1140,Машиностроение,ТПУ,Томск,Машиностроение,магистратура,русский,2 года                                            ,очная,есть,2000,Томск ,https://studyinrussia.ru/study-in-russia/programs/10271-mashinostroenie/info/
1141,Машиностроение,КФУ,Казань,Машиностроение,аспирантура,русский,4 года                                            ,"очная, заочная",нет,159600,Набережные Челны ,https://studyinrussia.ru/study-in-russia/programs/9290-mashinostroenie/info/
1142,Машиностроение,ДВФУ,Владивосток,Машиностроение,бакалавриат,русский,4 года                                            ,очная,есть,200000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9595-mashinostroenie/info/
1143,Машиностроение,ЮУрГУ,Челябинск,Машиностроение,магистратура,английский,2 года                                            ,очная,есть,160000,Челябинск ,https://studyinrussia.ru/study-in-russia/programs/263299-mashinostroenie/info/
1144,Машиностроение,ЮУрГУ,Челябинск,Машиностроение,бакалавриат,русский,4 года                                            ,очная,есть,146400,Челябинск ,https://studyinrussia.ru/study-in-russia/programs/232844-mashinostroenie/info/
1145,Машиностроение,ЮУрГУ,Челябинск,Машиностроение,магистратура,"русский, английский",2 года                                            ,очная,есть,155900,Челябинск ,https://studyinrussia.ru/study-in-russia/programs/232846-mashinostroenie/info/
1146,Машиностроение,Университет ИТМО,Санкт-Петербург,Машиностроение,аспирантура,русский,3 года                                            ,очная,есть,263000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/12981-mashinostroenie/info/
1147,Машиностроение,СПбПУ,Санкт-Петербург,Машиностроение,бакалавриат,русский,4 года                                            ,"очная, заочная",есть,210200219600,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13250-mashinostroenie/info/
1148,Машиностроение,ДВФУ,Владивосток,Машиностроение,магистратура,русский,2 года                                            ,очная,есть,275000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9675-mashinostroenie/info/
1149,Машиностроение,СПбПУ,Санкт-Петербург,Машиностроение,магистратура,русский,2 года                                            ,очная,есть,224400234600,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13523-mashinostroenie/info/
1150,Машиностроение,ТПУ,Томск,Машиностроение,аспирантура,русский,4 года                                            ,очная,есть,112224,Томск ,https://studyinrussia.ru/study-in-russia/programs/9966-mashinostroenie/info/
1151,Машиностроение,УрФУ,Екатеринбург,Машиностроение,бакалавриат,русский,4 года                                            ,очная,есть,199500159600,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/9982-mashinostroenie/info/
1152,Машиностроительные технологии и оборудование,Самарский университет,Самара,Машиностроение,бакалавриат,русский,5 лет                                            ,очно-заочная,есть,45800,Самара ,https://studyinrussia.ru/study-in-russia/programs/121448-mashinostroitelnye-tekhnologii-i-oborudovanie/info/
1153,Машины и оборудование нефтяных и газовых промыслов,СФУ,Красноярск,Машиностроение,бакалавриат,русский,4 года                                            ,очная,есть,170622,Красноярск ,https://studyinrussia.ru/study-in-russia/programs/277318-mashiny-i-oborudovanie-neftyanykh-i-gazovykh-promyslov/info/
1154,Машины и технология сварочного производства,СФУ,Красноярск,Электро- и теплоэнергетика,магистратура,русский,2 года                                            ,очная,есть,181856,Красноярск ,https://studyinrussia.ru/study-in-russia/programs/305396-mashiny-i-tekhnologiya-svarochnogo-proizvodstva/info/
1155,Медиа-технологии,РУДН,Москва,,,русский,1 месяц                                            ,очная,нет,25000,Москва ,https://studyinrussia.ru/study-in-russia/programs/35151-mediatekhnologii/info/
1156,Медиакоммуникации,ТюмГУ,Тюмень,Средства массовой информации и информационно-библиотечное дело,бакалавриат,"русский, английский",4 года                                            ,очная,есть,275000,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/113440-mediakommunikatsii/info/
1157,Медиакоммуникации,ТюмГУ,Тюмень,Средства массовой информации и информационно-библиотечное дело,магистратура,русский,2 года                                            ,очная,есть,275000,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/23115-mediakommunikatsii/info/
1158,Медиакоммуникации,ВШЭ,Москва,Средства массовой информации и информационно-библиотечное дело,бакалавриат,"русский, английский",4 года                                            ,очная,есть,540000,Москва ,https://studyinrussia.ru/study-in-russia/programs/13017-mediakommunikatsii/info/
1159,Медиакоммуникации и мультимедийные технологии,УрФУ,Екатеринбург,Средства массовой информации и информационно-библиотечное дело,бакалавриат,русский,4 года                                            ,очная,есть,237500190000,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/318167-mediakommunikatsii-i-multimediynye-tekhnologii/info/
1160,Медиапроизводство и медиааналитика (Санкт-Петербург),ВШЭ,Москва,Средства массовой информации и информационно-библиотечное дело,магистратура,"русский, английский",2 года                                            ,очная,есть,270000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/416966-mediaproizvodstvo-i-mediaanalitika-sanktpeterburg/info/
1161,Медиация в образовании,СФУ,Красноярск,Образование и педагогические науки,магистратура,русский,2 года                                            ,очная,есть,160316,Красноярск ,https://studyinrussia.ru/study-in-russia/programs/301191-mediatsiya-v-obrazovanii/info/
1162,Медиевистика,ВШЭ,Москва,История и археология,магистратура,"русский, английский",2 года                                            ,,есть,390000,Москва ,https://studyinrussia.ru/study-in-russia/programs/150472-medievistika/info/
1163,"Медико-биологические аппараты, системы и комплексы",ТПУ,Томск,"Фотоника, приборостроение, оптические и биотехнические системы и технологии",магистратура,английский,2 года                                            ,очная,есть,227490,Томск ,https://studyinrussia.ru/study-in-russia/programs/57351-medikobiologicheskie-apparaty-sistemy-i-kompleksy/info/
1164,Медико-профилактическое дело,ДВФУ,Владивосток,Науки о здоровье и профилактическая медицина,аспирантура,русский,3 года                                            ,"очная, заочная",есть,305000150000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9766-medikoprofilakticheskoe-delo/info/
1165,Медико-профилактическое дело,МГМУ,Москва,Науки о здоровье и профилактическая медицина,специалитет,русский,6 лет                                            ,очная,есть,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16171-medikoprofilakticheskoe-delo/info/
1166,Медико-профилактическое дело,МГМУ,Москва,Науки о здоровье и профилактическая медицина,аспирантура,русский,6480 часов                                            ,"очная, заочная",есть,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16270-medikoprofilakticheskoe-delo/info/
1167,Медико-профилактическое дело,РУДН,Москва,Науки о здоровье и профилактическая медицина,аспирантура,русский,3 года                                            ,"очная, заочная",есть,3192004200,Москва ,https://studyinrussia.ru/study-in-russia/programs/138401-medikoprofilakticheskoe-delo/info/
1168,Медико-социальная экспертиза,МГМУ,Москва,Клиническая медицина,ординатура,русский,2 года                                            ,очная,есть,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16209-medikosotsialnaya-ekspertiza/info/
1169,Медицинская биофизика,МГМУ,Москва,Фундаментальная медицина,специалитет,русский,6 лет                                            ,очная,есть,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16166-meditsinskaya-biofizika/info/
1170,Медицинская биофизика,УрФУ,Екатеринбург,Фундаментальная медицина,специалитет,русский,6 лет                                            ,очная,есть,3835,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/175204-meditsinskaya-biofizika/info/
1171,Медицинская биофизика,ДВФУ,Владивосток,Фундаментальная медицина,специалитет,русский,6 лет                                            ,очная,есть,270000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9663-meditsinskaya-biofizika/info/
1172,Медицинская биофизика,КФУ,Казань,Фундаментальная медицина,специалитет,русский,6 лет                                            ,очная,есть,205200,Казань ,https://studyinrussia.ru/study-in-russia/programs/14049-meditsinskaya-biofizika/info/
1173,Медицинская биохимия,МГМУ,Москва,Фундаментальная медицина,специалитет,русский,6 лет                                            ,очная,есть,,Москва ,https://studyinrussia.ru/study-in-russia/programs/16165-meditsinskaya-biokhimiya/info/
1174,Медицинская биохимия,УрФУ,Екатеринбург,Фундаментальная медицина,специалитет,русский,6 лет                                            ,очная,есть,3835,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/175171-meditsinskaya-biokhimiya/info/
1175,Медицинская биохимия ,ДВФУ,Владивосток,Фундаментальная медицина,специалитет,русский,5 лет                                            ,очная,есть,270000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9661-meditsinskaya-biokhimiya/info/
1176,Медицинская биохимия,КФУ,Казань,Фундаментальная медицина,специалитет,русский,6 лет                                            ,очная,есть,205200,Казань ,https://studyinrussia.ru/study-in-russia/programs/14048-meditsinskaya-biokhimiya/info/
1177,Медицинская кибернетика,КФУ,Казань,Фундаментальная медицина,специалитет,русский,6 лет                                            ,очная,есть,205200,Казань ,https://studyinrussia.ru/study-in-russia/programs/14050-meditsinskaya-kibernetika/info/
1178,Медицинская физика ,МИФИ,Москва,Физика и астрономия,,русский,4 года                                            ,,есть,167700,Москва ,https://studyinrussia.ru/study-in-russia/programs/368045-meditsinskaya-fizika-/info/
1179,Медицинская физика лучевой диагностики и терапии,МИФИ,Москва,Физика и астрономия,магистратура,"русский, английский",2 года                                            ,очная,есть,178750,Москва ,https://studyinrussia.ru/study-in-russia/programs/367834-meditsinskaya-fizika-luchevoy-diagnostiki-i-terapii/info/
1180,Медицинская физика ядерной медицины,МИФИ,Москва,Физика и астрономия,,"русский, английский",2 года                                            ,очная,есть,178750,Москва ,https://studyinrussia.ru/study-in-russia/programs/367855-meditsinskaya-fizika-yadernoy-meditsiny/info/
1181,"Международная деловая коммуникация (совместно с Университетом Нэйпия, г. Эдингбург)",РУДН,Москва,Языкознание и литературоведение,магистратура,русский,2 года                                            ,очная,нет,3500,Москва ,https://studyinrussia.ru/study-in-russia/programs/121995-mezhdunarodnaya-delovaya-kommunikatsiya-sovmestno-s-universitetom-neypiya-g-edingburg-/info/
1182,"Международная дополнительная образовательная программа ""Микроконтроллеры. Разработка встраиваемых приложений"" ",СПбПУ,Санкт-Петербург,,,английский,,очная,нет,,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/395766-mezhdunarodnaya-dopolnitelnaya-obrazovatelnaya-programma-mikrokontrollery-razrabotka-vstraivaemykh-prilozheniy-/info/
1183,Международная журналистика в мире новых медиа,ТГУ,Томск,Средства массовой информации и информационно-библиотечное дело,магистратура,"русский, английский",2 года                                            ,очная,нет,185200,Томск ,https://studyinrussia.ru/study-in-russia/programs/10973-novye-media-fotozhurnalistika-i-mediadizayn/info/
1184,Международная защита прав человека,РУДН,Москва,Юриспруденция,магистратура,русский,2 года                                            ,очная,есть,2800004000,Москва ,https://studyinrussia.ru/study-in-russia/programs/16418-mezhdunarodnaya-zashchita-prav-cheloveka/info/
1185,Международная защита прав человека (на английском языке),РУДН,Москва,Юриспруденция,магистратура,английский,2 года                                            ,очная,есть,2800004000,Москва ,https://studyinrussia.ru/study-in-russia/programs/16415-mezhdunarodnaya-zashchita-prav-cheloveka-na-angliyskom-yazyke/info/
1186,Международная летняя полевая школа-семинар «Палеобиогеоценозы мезозоя и кайнозоя Северного полушария» ,ТГУ,Томск,,,"русский, английский",12 - 26 дней                                            ,очная,нет,850,Томск ,https://studyinrussia.ru/study-in-russia/programs/99925-mezhdunarodnaya-letnyaya-polevaya-shkolaseminar-paleobiogeotsenozy-mezozoya-i-kaynozoya-severnogo-polushariya-/info/
1187,Международная летняя физико-математическая школа «Phystech.International» ,МФТИ,Москва,,,английский,14 дней                                            ,очная,нет,,Москва ,https://studyinrussia.ru/study-in-russia/programs/69887-mezhdunarodnaya-letnyaya-fizikomatematicheskaya-shkola-phystechinternational-/info/
1188,Международная летняя школа по изучению наследия Канта ,БФУ,Калининград,"Философия, этика и религиоведение",,"русский, английский",23.08.2020-30.08.2020                                             ,очная,есть,,Калининград ,https://studyinrussia.ru/study-in-russia/programs/183224-mezhdunarodnaya-letnyaya-shkola-po-izucheniyu-naslediya-kanta-ucheniya-kanta-o-prave-zakone-i-svobode/info/
1189,Международная летняя школа по изучению русского языка для иностранцев,ТюмГУ,Тюмень,,,английский,две недели недель                                            ,очная,нет,50000,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/297619-mezhdunarodnaya-letnyaya-shkola-po-izucheniyu-russkogo-yazyka-dlya-inostrantsev/info/
1190,"Международная политехническая зимняя школа ""Цифровое строительство""",СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,540,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360079-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-tsifrovoe-stroitelstvo/info/
1191,Международная политехническая зимняя школа «Возобновляемая энергетика»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,570,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360155-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-vozobnovlyaemaya-energetika/info/
1192,Международная политехническая зимняя школа «Гражданское строительство»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,540,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/363061-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-grazhdanskoe-stroitelstvo/info/
1193,Международная политехническая зимняя школа «Концептуальное 3D моделирование»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,540,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360140-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-kontseptualnoe-3d-modelirovanie/info/
1194,Международная политехническая зимняя школа «Космические технологии»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,540,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360171-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-kosmicheskie-tekhnologii/info/
1195,Международная политехническая зимняя школа «Машинное обучение: теория и применение (Санкт-Петербург - Москва)»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,510540,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360193-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-mashinnoe-obuchenie-teoriya-i-primenenie-sanktpeterburg-moskva/info/
1196,Международная политехническая зимняя школа «Нефть и газ в топливной промышленности»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,670,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360138-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-neft-i-gaz-v-toplivnoy-promyshlennosti/info/
1197,Международная политехническая зимняя школа «Россия как бизнес-среда»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,540,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360142-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-rossiya-kak-biznessreda/info/
1198,"Международная политехническая зимняя школа «Русский язык, литература и бизнес-культура»",СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,430,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360144-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-russkiy-yazyk-literatura-i-bizneskultura/info/
1199,Международная политехническая зимняя школа «Современные технологии управления производственными предприятиями»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,540,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360196-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-sovremennye-tekhnologii-upravleniya-proizvodstvennymi-predpriyatiyami/info/
1200,Международная политехническая зимняя школа «Турбомашиностроение»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,43000,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360122-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-turbomashinostroenie/info/
1201,Международная политехническая зимняя школа «Умное производство и цифровое будущее»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,540,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360183-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-umnoe-proizvodstvo-i-tsifrovoe-budushchee/info/
1202,Международная политехническая зимняя школа «Физика плазмы и ядерный синтез»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,540,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360175-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-fizika-plazmy-i-yadernyy-sintez/info/
1203,Международная политехническая зимняя школа «Электротехника»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,670,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360136-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-elektrotekhnika/info/
1204,Международная политехническая зимняя школа «Энергоэффективность и устойчивое развитие»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,570,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360168-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-energoeffektivnost-i-ustoychivoe-razvitie/info/
1205,Международная политехническая зимняя школа «Ядерная энергетика»,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,670,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/360091-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-yadernaya-energetika/info/
1206,Международная политехническая зимняя школа: 2 столицы (СПбПУ - РУДН) ,СПбПУ,Санкт-Петербург,,,английский,3-4 недели                                            ,очная,нет,250,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/384320-mezhdunarodnaya-politekhnicheskaya-zimnyaya-shkola-2-stolitsy-spbpu-rudn-/info/
1207,Международная политехническая летняя  школа «Ядерная энергетика»,СПбПУ,Санкт-Петербург,,,английский,2/3 недели                                            ,очная,нет,670870,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/35237-mezhdunarodnaya-politekhnicheskaya-letnyaya-shkola-yadernaya-energetika/info/
1208,"Международная политехническая летняя школа ""Аддитивное производство и соединительные технологии""",СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,540,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/317922-mezhdunarodnaya-politekhnicheskaya-letnyaya-shkola-additivnoe-proizvodstvo-i-soedinitelnye-tekhnologii/info/
1209,"Международная политехническая летняя школа ""Возобновляемая энергетика""",СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,600,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/318207-mezhdunarodnaya-politekhnicheskaya-letnyaya-shkola-vozobnovlyaemaya-energetika/info/
1210,"Международная политехническая летняя школа ""Компьютерное моделирование и симуляция для инженеров""",СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,540,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/318199-mezhdunarodnaya-politekhnicheskaya-letnyaya-shkola-kompyuternoe-modelirovanie-i-simulyatsiya-dlya-inzhenerov/info/
1211,"Международная политехническая летняя школа ""Космические технологии""",СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,540,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/127798-mezhdunarodnaya-politekhnicheskaya-letnyaya-shkola-kosmicheskie-tekhnologii/info/
1212,"Международная политехническая летняя школа ""Лидерство в коммуникации""",СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,410,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/318311-mezhdunarodnaya-politekhnicheskaya-letnyaya-shkola-liderstvo-v-kommunikatsii/info/
1213,"Международная политехническая летняя школа ""Международное управление человеческими ресурсами""",СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,480,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/318221-mezhdunarodnaya-politekhnicheskaya-letnyaya-shkola-mezhdunarodnoe-upravlenie-chelovecheskimi-resursami/info/
1214,"Международная политехническая летняя школа ""Молекулярная гастрономия """,СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,540,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/244246-mezhdunarodnaya-politekhnicheskaya-letnyaya-shkola-molekulyarnaya-gastronomiya-/info/
1215,"Международная политехническая летняя школа ""Предпринимательство и технологическое лидерство""",СПбПУ,Санкт-Петербург,,,английский,2 недели                                            ,очная,нет,480,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/318299-mezhdunarodnaya-politekhnicheskaya-letnyaya-shkola-predprinimatelstvo-i-tekhnologicheskoe-liderstvo/info/
