,Название программы,Название вуза,Город,Направление,Уровень,Язык обучения,Продолжительность,Форма обучения,Возможность бесплатного обучения,Стоимость обучения,Где проходит обучение,Ссылка
2875,Физическая культура,ДВФУ,Владивосток,Физическая культура и спорт,магистратура,русский,2 года                                            ,,есть,370000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/305812-fizicheskaya-kultura/info/
2876,Физическая культура,ДВФУ,Владивосток,Физическая культура и спорт,бакалавриат,русский,4 года                                            ,очная,есть,270000,Владивосток ,https://studyinrussia.ru/study-in-russia/programs/9621-fizicheskaya-kultura/info/
2877,Физическая культура,ЮУрГУ,Челябинск,Физическая культура и спорт,магистратура,русский,2 года                                            ,очная,есть,200940,Челябинск ,https://studyinrussia.ru/study-in-russia/programs/235925-fizicheskaya-kultura/info/
2878,Физическая культура,ТГУ,Томск,Физическая культура и спорт,бакалавриат,русский,4 года                                            ,очная,нет,253300,Томск ,https://studyinrussia.ru/study-in-russia/programs/12183-tekhnologii-sportivnoy-podgotovki-ffk/info/
2879,Физическая культура,БФУ,Калининград,Физическая культура и спорт,магистратура,русский,2 года                                            ,"очная, заочная",есть,3700,Калининград ,https://studyinrussia.ru/study-in-russia/programs/16285-professionalnoe-fizkulturnoe-obrazovanie/info/
2880,Физическая культура,УрФУ,Екатеринбург,Физическая культура и спорт,бакалавриат,русский,4 года                                            ,очная,есть,242600194100,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/172703-fizicheskaya-kultura/info/
2881,Физическая культура,ТюмГУ,Тюмень,Физическая культура и спорт,бакалавриат,русский,"4,5 года                                            ",заочная,нет,100300,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/24241-fizicheskaya-kultura/info/
2882,Физическая культура,ННГУ,Нижний Новгород,Физическая культура и спорт,магистратура,русский,2 года                                            ,"очная, заочная",есть,20750049000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/10166-fizicheskaya-kultura/info/
2883,Физическая культура,ТюмГУ,Тюмень,Физическая культура и спорт,бакалавриат,русский,4 года                                            ,очная,есть,189591,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/16075-fizicheskaya-kultura/info/
2884,Физическая культура,ТюмГУ,Тюмень,Физическая культура и спорт,магистратура,русский,2 года                                            ,очная,есть,202151,Тюмень ,https://studyinrussia.ru/study-in-russia/programs/16109-fizicheskaya-kultura/info/
2885,Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура),ННГУ,Нижний Новгород,Физическая культура и спорт,бакалавриат,русский,4 года                                            ,"очная, заочная",есть,19700050000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/10045-fizicheskaya-kultura-dlya-lits-s-otkloneniyami-v-sostoyanii-zdorovya-adaptivnaya-fizicheskaya-kultura/info/
2886,Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура),УрФУ,Екатеринбург,Физическая культура и спорт,бакалавриат,русский,4 года                                            ,очная,есть,242600194100,Екатеринбург ,https://studyinrussia.ru/study-in-russia/programs/144636-fizicheskaya-kultura-dlya-lits-s-otkloneniyami-v-sostoyanii-zdorovya-adaptivnaya-fizicheskaya-kultura/info/
2887,Физическая культура и спорт,ТГУ,Томск,Физическая культура и спорт,аспирантура,"русский, английский",6 480 часов                                            ,очная,нет,229560,Томск ,https://studyinrussia.ru/study-in-russia/programs/12054-fizicheskaya-kultura-i-sport/info/
2888,Физическая культура и спорт,СПбПУ,Санкт-Петербург,Физическая культура и спорт,аспирантура,русский,3 года                                            ,"очная, заочная",есть,275000287600,Санкт-Петербург ,https://studyinrussia.ru/study-in-russia/programs/13465-fizicheskaya-kultura-i-sport/info/
2889,Физическая металлургия и материаловедение,МФТИ,Москва,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12049-fizicheskaya-metallurgiya/info/
2890,Физическая металлургия и материаловедение,МФТИ,Москва,Физика и астрономия,магистратура,русский,2 года                                            ,очная,есть,265000,Москва ,https://studyinrussia.ru/study-in-russia/programs/12134-fizicheskaya-metallurgiya-i-materialovedenie/info/
2891,Физическая химия,БФУ,Калининград,Химия,аспирантура,русский,4 года                                            ,очная,есть,1200,Калининград ,https://studyinrussia.ru/study-in-russia/programs/16402-fizicheskaya-khimiya/info/
2892,Физическая химия,ННГУ,Нижний Новгород,Химические науки,аспирантура,русский,4 года                                            ,"очная, заочная",есть,200000,Нижний Новгород ,https://studyinrussia.ru/study-in-russia/programs/270061-fizicheskaya-khimiya/info/
